,series,episode,rt_synopsis
161,total bellas,what to expect when you're not expecting,"

                Nikki is finally cleared to wrestle again; although Brie is eager to start training for their comeback, Nikki finds herself distracted with unexpected emotions and uncertainty about her future as Mrs. Cena.
            
Show More
"
162,kenan,the whole enchilada,"

                Kenan has doubts about introducing his secret girlfriend, Janay, to his family; Pam pursues a new business opportunity with Gary, but her competitive nature gets in the way of her own success.
            
Show More
"
163,frasier,come lie with me,"

                Daphne decides to move into a place of her own after Frasier forbids her boyfriend's overnight visits.
            
Show More
"
164,the face,runway dinner party,"

                The modeltestants walk an unusual runway in a restrictive latex dress; Pamella Roland launches a new line by having the girls walk a dinner table runway.
            
Show More
"
165,below deck down under,unchained and untamed,"

                Aesha and Ryan's opposing views on service are tested during an explosive lunch; Brittini stands up for herself on deck, while Benny takes issue working in the anchor locker; Captain Jason introduces a most improved award that isn't well received.
            
Show More
"
166,the wall,amber and chelsea,"

                Amber, a 911 operator, and Chelsea, a construction worker, are sisters from Wasilla, Alaska; as a 911 operator, Amber received a stork award for helping a distressed caller deliver a baby; now, they must handle the pressure of the wall.
            
Show More
"
167,yellowstone,cowboys and dreamers,"

                The reason for Beth and Jamie's toxic relationship is revealed; Kayce bends the rules to help a family in need; Rip and the boys get into a confrontation with two men from John's past.
            
Show More
"
168,grand crew,wine & hip-hop,"

                Sherm tags along as Nicky sells a house to a famous rapper; Noah and his date get into a fender bender; Anthony deals with dating while vegan.
            
Show More
"
169,saved by the bell,the mamas & papas,"

                The students take part in mock marriages to learn what commitment entails. With Mark-Paul Gosselaar and Mario Lopez.
            
Show More
"
170,chicago fire,take a knee,"

                Casey discovers a new crack house on the block that's harboring a female junkie; a new trainee gets Dawson and Brett into trouble; Severide gets an unexpected visit from his father.
            
Show More
"
171,"murder, she wrote",murder by twos,"

                Jessica seeks a link between the electrocution of the town bully and the hanging of a teacher who was his lover.
            
Show More
"
172,charmed,baby's first demon,"

                When Piper's baby is nearly abducted, Paige seeks out the would-be kidnappers at a demonic black market.
            
Show More
"
173,1st look,destination miami,"

                Exploring Miami's art and Latin culture as well as South Florida's sea creatures.
            
Show More
"
174,yellowstone,keep the wolves close,"

                John is put in an awkward position by Gov. Perry; Carter works to earn back Beth's trust; Jamie is in for a big surprise.
            
Show More
"
175,escape to the chateau,"orangery, daybeds & unexpected history","

                Dick and Angel are determined to return the Chateau's orangerie to its former glory.
            
Show More
"
176,good girls,thank you for your support,"

                Beth runs for city council as tensions rise between Nick and Rio; Nancy, down on her luck, offers Annie some unlikely relationship advice; Ruby becomes suspicious of Stan's new venture.
            
Show More
"
177,new amsterdam,cavitation,"

                A visiting journalist picks at the hospital's flaws while shadowing Max; Bloom and Reynolds have a major disagreement after Bloom makes a call against protocol; Kapoor confronts issues from his past.
            
Show More
"
178,late night with seth meyers,"claire danes, zach woods, gov. gavin newsom","

                Actress Claire Danes; actor Zach Woods; Gov. Gavin Newsom (D-Calif.); Elijah Wood sits in with the 8G Band.
            
Show More
"
179,better late than never,"kyoto and hong kong: less talky, more sake","

                Celebrities Henry Winkler, William Shatner, Terry Bradshaw and George Foreman visit a geisha house and a samurai warrior school; in Hong Kong the gang stays at one of the top hotels in the world, rents a yacht, and visits a Chinese medicine shop.
            
Show More
"
180,chicago fire,viral,"

                Cruz puts himself and his fellow firefighters in danger; Casey tries to resolve issues with his sister and mother; the team assists the bomb squad with a dangerous call.
            
Show More
"
181,zoey's extraordinary playlist,zoey's extraordinary reckoning,"

                Simon wrestles with his future at SPRQ Point after calling out racial bias at the company; Mo and Max pitch a new investor for their business venture.
            
Show More
"
182,"murder, she wrote",amsterdam kill,"

                Jessica's probe of a friend's kidnapping in Amsterdam leads to two murders and a diamond-smuggling ring.
            
Show More
"
183,frasier,"dad loves sherry, the boys just whine","

                Frasier and Niles discover their father is dating two women simultaneously.
            
Show More
"
184,little big shots,little boy blue,"

                A 4-year-old piano prodigy; salsa-dancing duo; a 6-year-old choir conductor; funny storyteller; a 5-year-old animal hypnotist.
            
Show More
"
185,ordinary joe,way leads on to way,"

                After his college graduation, Joe Kimbreau is faced with a pivotal decision that steers his life down three drastically different paths.
            
Show More
"
186,lipstick jungle,chapter nineteen: lovers' leap,"

                Wendy discovers that Shane is thinking about going on tour with Natasha Bedingfield; an executive challenges Nico's sovereignty; Victory tries to plan the perfect proposal.
            
Show More
"
187,charmed,animal pragmatism,"

                Phoebe attempts to reverse the spell that turned animals into good-looking dates for her study group, creating a virtual zoo at the club.
            
Show More
"
188,girls5eva,can't wait 2 wait,"

                Summer's parents urge her to stay chaste until she finds ""The Two""; Dawn gets a little too close to Ray during a late night at the studio; Wickie dates a celebrity whom she cannot name due to an NDA.
            
Show More
"
189,lipstick jungle,chapter six: take the high road,"

                Nico and Wendy go on a business trip to Scotland; Victory grows suspicious of her newfound investor.
            
Show More
"
190,the king of queens,mentalo case,"

                Doug recalls his childhood toy, Mentalo; Arthur sends Holly to find the perfect gift for his daughter.
            
Show More
"
191,below deck,the proposal,"

                Kate says goodbye to her girlfriend; Ben makes a heartfelt gesture to a crew member; the Valor crew must prepare the perfect surprise engagement dinner for two guests; Kelley loses control of his deck team; Kyle's admiration for Sierra grows.
            
Show More
"
192,new amsterdam,the blues,"

                Max continues to work to solve underlying problems within the hospital despite his struggles with treatment; Reynolds makes the choice to do a costly surgery to determine an elusive diagnosis; Bloom must face her personal demons head-on.
            
Show More
"
193,chicago med,more harm than good,"

                Dr. Charles and Dr. Manning disagree on how to handle a patient who they discover is poisoning herself; Dr. Rhodes throws some serious accusations at Dr. Bekker; Dr. Halstead has suspicions about Natalie's new boyfriend; Dr. Choi tends to Bernie.
            
Show More
"
194,kitchen nightmares,lido di manhattan,"

                Gordon tries to revitalize a failing Italian restaurant in Manhattan Beach, Calif.; the eatery's owner is a business school graduate with no prior experience in the food service industry.
            
Show More
"
195,escape to the chateau,"wash house, trench & vintage bike","

                Dick and Angel turn their attention to the derelict Laverie and refurbish a salvaged vintage bike.
            
Show More
"
196,listing impossible,the house with endless hallways,"

                Aaron and Yawar try to help artists in the Hollywood Hills sell a uniquely designed home, but their controlling nature might get in the way of a deal; Neyshia works to find an East Coast rapper his first West Coast pad.
            
Show More
"
197,million dollar listing new york,wake. sell. repeat.,"

                Fredrik tries to set records at the open house for his Park Slope brownstone; even though Ryan's business is booming, he finds himself down in the dumps; Steve encourages a friend to sell his Soho loft and receives an offer from an unexpected source.
            
Show More
"
198,bel-air,where to?,"

                A re-imagination of the beloved sitcom ""The Fresh Prince of Bel-Air"" set in modern-day America through a new, dramatic take on Will's complicated journey from the streets of West Philadelphia to the gated mansions of Bel Air. As these worlds collide, he reckons with the power of second chances while navigating the conflicts, emotions and biases of a world far different from the only one he's ever known.
            
Show More
"
199,30 rock,jack meets dennis,"

                Liz confesses she went back to her ex (Dean Winters) because he asked; Jack takes it upon himself to be Liz's mentor.
            
Show More
"
200,saved by the bell,zack's war,"

                Zack (Mark-Paul Gosselaar) becomes a leader of men when he joins a cadet corps to get out of detention.
            
Show More
"
201,charmed,"the good, the bad and the cursed","

                When Phoebe becomes caught up in a ghost town's violent past, Prue must travel back in time to rescue her sister from an appalling fate.
            
Show More
"
202,yellowstone,the beating,"

                Jamie has a major revelation; Beth makes plans for her future; Jimmy meets a rodeo legend; Rip's patience is tested.
            
Show More
"
203,ordinary joe,the letter,"

                The origins of Joe Kimbreau's three paths are revisited in greater detail over graduation weekend in 2011.
            
Show More
"
204,a little late with lilly singh,nick offerman,"

                Actor Nick Offerman.
            
Show More
"
205,kenan,hustle and flow,"

                Kenan and Aubrey clash when he refuses to see that she's growing up; while Gary pursues a controversial revenue stream on social media, Mika, Tami and Pam are inspired to show him the downside.
            
Show More
"
206,frasier,momma mia,"

                Niles and Martin vow not to point out the resemblance of Frasier's new girlfriend (Rita Wilson) to his mother.
            
Show More
"
207,30 rock,"apollo, apollo","

                Jack plans his 50th birthday party; Liz's ex-boyfriend, Dennis, makes a confession that stirs up drama between Jenna and Liz; Pete and Kenneth try to make Tracy's childhood dream come true.
            
Show More
"
208,a.p. bio,an oath to rusty,"

                Jack attempts to get closer with the guys at work by inviting them over for a game night; Helen helps Principal Durbin grow a backbone; Stef and Mary try to coax information out of Michelle about the court case she was a juror on.
            
Show More
"
209,ordinary joe,requiem,"

                With the anniversary of 9/11 approaching, all three Joes grapple with the emotions that come with the day; Cop Joe and Amy pursue a romance, but Music Joe and Amy's marriage is clouded by a big secret; Nurse Joe and Jenny have a breakthrough.
            
Show More
"
210,the wall,melvin and meredith,"

                Melvin, a FedEx driver, and Meredith, a respiratory therapist, are a father and daughter duo from Michigan; Melvin recently went viral for shoveling snow off of his customer's doorstep; they hope to clear the way to millions just as easily.
            
Show More
"
211,mr. robot,eps1.8_m1rr0r1ng.qt,"
A cybersecurity tech meets the leader of hacker group fsociety, Mr. Robot; a robot may be behind the biggest company in the world getting hacked.
"
212,"murder, she wrote",capitol offense,"

                Jessica is asked to complete the last weeks of an expired congressman's term, and discovers politics is murder.
            
Show More
"
213,downton abbey,episode #09-making of downton abbey,"

                Tensions arise as Downton Abbey hosts a lavish Christmas party.
            
Show More
"
214,saved by the bell,the will,"

                The guys and the girls stage a competition to decide who gets to spend a $10,000 inheritance. With Lark Voorhies and Dustin Diamond.
            
Show More
"
215,little big shots,third time's a charm,"

                A 4-year-old sings Frank Sinatra songs; a 9-year-old bubble artist from Germany; a 7-year-old math expert; a 5-year-old presidential expert; a 10-year-old contortionist; a 12-year-old gospel singer.
            
Show More
"
216,open house nyc,best of spring settings,"

                Brokers and buyers participate in shopping for apartments and houses.
            
Show More
"
217,"murder, she wrote",the dream team,"

                A plan to develop Cabot Cove ends badly when the chief financial investor's wife takes a nose dive into the bay.
            
Show More
"
218,charmed,a paige from the past,"

                Leo takes Paige back in time so she can confront her guilt about her parents' deaths; ghosts possess Phoebe's and Cole's bodies and head to a chapel to get married.
            
Show More
"
219,sisterhood of hip hop,gotta have it,"

                Lee explores adding a member to the team; Siya has the opportunity to land a distributor for her debut album; Brianna confronts her mother.
            
Show More
"
220,good girls,everything must go,"

                Beth must turn to Dean for help as Turner gets closer to the truth about their crimes, but she unwittingly uncovers a troubling secret about Dean when a familiar face from the past returns.
            
Show More
"
221,listing impossible,the marble monument to love,"

                A widower says he wants to sell the dream house his late wife designed, but his emotional attachment to the property makes it hard to let go; agent Arvin tries a hard sell on potential clients in Hancock Park, only to get an unpleasant surprise.
            
Show More
"
222,million dollar listing los angeles,mexican retreat,"

                A seller insists on having a security guard on site when his property is shown; Josh Altman's girlfriend co-lists a property with Josh Flagg; Marcos invites Madison to Mexico to meet with developers.
            
Show More
"
223,the profit,key west key lime pie co,"

                Marcus tries to help a couple get their pie business in Key West, Fla. that isn't turning a profit back on track .
            
Show More
"
224,summer house,worst. date. ever.,"

                As the house gears up for its Fourth of July party, Jules wants to be friends with Paige, while Luke wants to be intimate with Hannah; Carl and Lindsay's first date is a full-blown disaster; Amanda slams the door in Kyle's face, setting him off.
            
Show More
"
225,chicago med,mistaken,"

                The doctors treat those injured in a movie theater shooting; Natalie asks Daniel for help treating a teenager with an eating disorder; a patient surprises everyone.
            
Show More
"
226,late night with seth meyers,"amy sedaris, joy reid (at home edition)","

                Actress Amy Sedaris; TV host Joy Reid; Nikki Glaspie sits in with the 8G Band.
            
Show More
"
227,30 rock,idiots are people three!,"

                Tracy leads a protest defending idiots everywhere; Jack finds time to face off with Devin Banks (Will Arnett) and meddle in Liz's relationship by issuing Criss (James Marsden) an ultimatum.
            
Show More
"
228,eurek,if you build it...,"

                Teens erect a structure of stolen scrap and electronics while under control during sleep.
            
Show More
"
229,hell's kitchen,11 chefs,"
Twenty aspiring restaurateurs present their signature dishes to Ramsay -- and an audience -- in Las Vegas; while the challenge winners earn a night out on the town, the losers must head back to Los Angeles on a school bus.
"
230,kenan,destroying miami,"

                Kenan, Gary, Mika, Tami and Phil head to Miami for some fun, but with love in the air, they find a lot of trouble; Rick and Loretta stay home to take care of the girls, but things don't go as smoothly as they should.
            
Show More
"
231,clash of the cover bands,clash of the showstoppers,"
Performing the music of U2 and Coldplay, two tribute bands go head-to-head for $10,000 and a chance to perform on ""The Tonight Show Starring Jimmy Fallon.""
"
232,parenthood,"i hear you, i see you","

                Adam is overwhelmed with increasing demands from his boss (William Baldwin) and family needs; Sarah searches for a career path; Crosby gets ready for a visit from Jabbar and Jasmine; Haddie learns to drive.
            
Show More
"
233,american pickers,what happens in sturgis...,"

                Mike hits the back roads of South Dakota; Frank takes off for the Sturgis motorcycle rally; Danielle's hunch to stop at an 1880s ghost town pays off; Danielle lays down serious coin on a hot Disney heroine.
            
Show More
"
234,superstore,forced hire,"

                When Amy hires Dina's nemesis Colleen, Dina blackmails Garrett into making Colleen's life a living hell; Jonah is forced to befriend Marcus to unionize the warehouse guys.
            
Show More
"
235,good girls,carolyn with a y,"

                Ruby and Annie get frustrated with Beth; things change when Rio asks Beth to recruit a new team member; Stan is wary of involving Beth in new business; Annie is convinced to pull Ben from private school.
            
Show More
"
236,that's my jam,anthony anderson & t-pain vs. ryan tedder & bebe rexha,"

                Celebrity guests Anthony Anderson, T-Pain, Ryan Tedder and Bebe Rexha compete in a series of music, dance and trivia-based games and musical performances.
            
Show More
"
237,kenan,workaholic,"

                Mika finds herself at odds with Kenan, Pam and Tami when they accuse her of being a workaholic; Gary unintentionally meets a woman whom he really likes and struggles with how to tell her.
            
Show More
"
238,summer house,kiss and don't tell,"

                Lindsay is trying to take her relationship with Stephen to the next level; Paige decides if Perry is the one for her; the housemates learn that Luke is bringing a new girl to the house.
            
Show More
"
239,"murder, she wrote",danse diabolique,"

                Jessica is convinced that a ballerina who died during her premiere performance in a new ballet was actually murdered.
            
Show More
"
240,angelyne,the tease,"

                Car crashes, trust pacts, empty threats, private detectives, lawsuits; Angelyne agrees to make a documentary about her life.
            
Show More
"
241,the wall,terra and brandi,"

                Terra, a primary school principal, and Brandi, an admissions counselor, are sisters from Atlanta; with life-changing money on the wall, these two try to ace their game to walk away with millions.
            
Show More
"
242,american pickers,superhero heaven,"

                In a jam-packed home, Mike and Frank find superhero heaven, coming across a rare Superman comic as well as the very first Spider-Man comic worth $50,000.
            
Show More
"
243,mr. robot,eps1.9_zer0-day.avi,"

                One of Elliot's past hacks comes back to haunt him; Mr. Robot and Tyrell are missing.
            
Show More
"
244,e! true hollywood story,tgif,"

                In-depth interviews with the cast and creators of ""TGIF""; THS celebrate the successes and struggles behind the biggest night in TV history.
            
Show More
"
245,charmed,blinded by the whitelighter,"

                The sisters battle a warlock who exterminates witches and takes their powers; an interfering ""Whitelighter"" causes friction between Piper and Leo.
            
Show More
"
246,superstore,amnesty,"

                Glenn and Dina offer amnesty to the employees for any bad things they confess; Garrett and Cheyenne try to decide how to take advantage of it; Jonah and Amy try to defuse an awkward situation that has the whole store gossiping.
            
Show More
"
247,downton abbey,episode #04,"

                Amid the fallout from the eventful house party, Mary faces a pressing question about her future, while Carson reveals surprisingly intimate details of his former life.
            
Show More
"
248,listing impossible,episode #05,"

                A $12 million mansion in a golf course community isn't quite the hot commodity its owners hoped it'd be, but Aaron and Morgan are determined to turn up the temperature. And Aaron and Arvin clash in the office when Arvin oversteps on a deal.
            
Show More
"
249,"murder, she wrote",northern explosion,"

                Her plane laid-over in a small British Columbia town, Jessica probes two murders related to a local mining company.
            
Show More
"
250,summer house,a birthday to die for,"

                Lindsay turns the house into a crime scene for her murder mystery-themed birthday; Paige is put in an uncomfortable position as tension between Hannah and Amanda escalates over Hannah's involvement with Luke, who is still hung up on an ex.
            
Show More
"
251,forensic files,trail of a killer,"

                Forensic investigators try to stop a killer who is apparently responsible for two slayings in a community in South Carolina.
            
Show More
"
252,late night with seth meyers,"emily ratajkowski, cillian murphy, david simon","

                Inamorata founder Emily Ratajkowski; actor Cillian Murphy; writer David Simon; Steve Ferrone sits in with the 8G Band.
            
Show More
"
253,listing impossible,the cold box on the beach,"

                A desperate divorcée enlists Aaron to help unload her beach house, which has been sitting on the market for three years with zero offers; agent Tay must decide whether to capitalize on her very famous last name or keep trying to make it on her own.
            
Show More
"
254,escape to the chateau,"sloe gin, library & ceiling rose","

                Dick is determined to make sloe gin with the last of the berries; Angel gets to work creating a library in the pepper pot tower and brings a ceiling rose back to its former glory.
            
Show More
"
255,late night with seth meyers,"ben stiller, rose matafeo","

                Director Ben Stiller; comic Rose Matafeo; Brooke Colucci sits in with the 8G Band.
            
Show More
"
256,eurek,i'll be seeing you,"

                Global Dynamics project is stolen; Grant is the prime suspect.
            
Show More
"
257,"murder, she wrote",time to die,"

                Infrared cameras seem to prove Jessica's writing student is guilty of killing his abusive stepfather.
            
Show More
"
258,a.p. bio,that that that,"

                When Harvard philosophy professor Jack Griffin fails to get his dream job and reluctantly moves back to Ohio to work as a high school Advanced Placement Biology teacher, he makes one thing very clear: he will not be teaching one bit of biology. Instead, realizing he has a room full of honor roll students at his disposal, Jack recruits the kids to help him mentally break his job-stealing nemesis and win back the position that's rightfully his. From Saturday Night Live alums Seth Meyers and Mike O'Brien.
            
Show More
"
259,angelyne,dream machine,"

                Deep dives, punk shows, blood pacts, Corvettes, betrayals, smashed guitars, transformations; Angelyne swallows a band and a man, whole.
            
Show More
"
260,lipstick jungle,chapter five: dressed to kill,"

                Victory discovers that her work has been stolen; things heat up again between Nico and Kirby; Wendy pitches Shane's demo for a prospective movie.
            
Show More
"
261,house,skin deep (edited),"

                While treating a supermodel for heroin addiction, Dr. House uncovers a startling secret; Wilson hopes that House's increased leg pain is proof that his nerves are regenerating.
            
Show More
"
262,grand crew,wine & art,"

                Wyatt gets into an art show and asks Sherm to be his subject; Noah doesn't know if Simone is ready to take the next step, but Nicky has a plan; Fay teaches Anthony some dance moves.
            
Show More
"
263,summer house,epic grand gesture,"

                The housemates throw a Christmas in July party and exchange secret Santa gifts; Kyle has a special present for Amanda; Hannah invites her British beau to the party; Carl vies for Paige's attention, but she ignores his advances, and he goes too far.
            
Show More
"
264,"murder, she wrote",murder to a jazz beat,"

                A talk-show host (Clive Revill) and a cab driver (Garrett Morris) help Jessica solve the murder of a New Orleans jazz musician.
            
Show More
"
265,"murder, she wrote",death 'n denial,"

                Jessica takes a trip to Egypt to finalize a cultural exchange program and ends up searching for a killer and a stolen artifact.
            
Show More
"
266,that's my jam,joseph gordon-levitt & chance the rapper vs. alessia cara...,"

                Celebrity guests Joseph Gordon-Levitt, Chance the Rapper, Alessia Cara and Josh Groban compete in a series of music, dance and trivia-based games and musical performances.
            
Show More
"
267,million dollar listing new york,the final shakedown,"

                Fredrik takes buyers on a Hudson River cruise to interest them in his new West Side development; Luis and a developer embark on a plan to create a massive unit overlooking Central Park, but one of Ryan's clients may stop them dead in their tracks.
            
Show More
"
268,below deck down under,the tipping point,"

                Magda surprises the guests by putting on a show; Aesha learns that being a barista isn't easy; Ryan struggles to accommodate the guests' demands; an extra tip leaves Brittini in tears.
            
Show More
"
269,joe vs carole,the tiger king,"
Carole Baskin, a big cat rescuer, learns that roadside zoo owner Joe Exotic has hired a hit man to murder her; seven years earlier, their rivalry begins when she builds a coalition to shut down his animal show and cub-petting operation.
"
270,the wall,tamara and leo,"

                Tamara, a professor, and her husband Leo, a mental health therapist, from Jonesboro, Ark., take on the wall and the all-new Free Fall+ for a chance at over $12 million.
            
Show More
"
271,little big shots,the world just touches my heart,"

                Melissa McCarthy welcomes Jerry, a space expert; Caca, a soul singer; and Lele, a sugar artist; she also revisits some fun and inspirational moments with previous Little Big Shots.
            
Show More
"
272,this is us,the beginning is the end is the beginning,"

                Kevin arrives at the ville where his father served; Kate pursues a new opportunity; Randall debates Councilman Solomon Brown; in the past, Jack struggles to get through to his brother.
            
Show More
"
273,charmed,secrets and guys,"

                Prue receives a plea for help from Max, a 13-year-old witch who has been kidnapped by a pair of vicious thugs.
            
Show More
"
274,e! true hollywood story,what's killing music's biggest stars?,"

                The pressures of fame have led many celebrities down a path of addiction and substance abuse; the situation is worse now than ever making prescription medication the new drug of choice.
            
Show More
"
275,joe vs carole,a fairy take,"

                Joe finds a new partner for the zoo and pursues his political aspirations; John learns some unexpected news; Travis seeks purpose; Carole prepares to testify before Congress.
            
Show More
"
276,lipstick jungle,chapter sixteen: thanksgiving,"

                Wendy rushes to plan and prepare a big Thanksgiving dinner using local ingredients; a last minute request from Megan complicates Nico and Kirby's perfect Thanksgiving; Victory is asked to design a wedding dress in two days.
            
Show More
"
277,30 rock,my whole life is thunder,"

                Jenna's envy pushes Liz over the edge; Jack forms a plan to avoid disappointing his mother (Elaine Stritch); Tracy tries to cheer up Kenneth.
            
Show More
"
278,this is us,the challenger,"

                The Big Three celebrate their 41st birthday.
            
Show More
"
279,nurses,mirror box,"

                Keon finds himself supporting his patient's fiancée when a swift recovery has an unexpected side effect; Naz treats a former Olympian whose rare condition requires creative solutions; Wolf helps a frequent flyer with hearing loss.
            
Show More
"
280,good girls,the eye in survivor,"

                Beth takes a gamble to strike a new business deal, but it has consequences that put the women in an unwelcome position; Ruby worries her lifestyle is rubbing off on her family; Annie realizes she may have an inappropriate crush on someone.
            
Show More
"
281,zoey's extraordinary playlist,zoey's extraordinary dad,"

                After hearing an ominous song, Zoey does everything in her power to stop something bad from happening.
            
Show More
"
282,project runway,one elle of a day,"

                The remaining designers arrive at a new workspace to learn about their final challenge; Nina Garcia meets them at the Elle Magazine offices where they are tasked with a surprise 11th look; only three of them will move on to compete in the finale.
            
Show More
"
283,1st look,1st look presents: celebrity sleepover with tom & ariana,"

                Reality-TV personalities Tom Sandoval and Ariana Madix.
            
Show More
"
284,yellowstone,under a blanket of red,"

                John and Kayce are forced to deal with some newcomers in town; Lloyd is in the doghouse with Rip, and finds purpose in teaching Carter; Jamie seeks information about his father.
            
Show More
"
285,million dollar listing los angeles,love conquers,"

                Josh Flagg searches for a new home and faces an ultimatum from Colton; Josh Altman targets high-rolling international buyers for a villa in Beverly Hills; Josh Altman makes a life-changing decision.
            
Show More
"
286,frasier,head game,"

                Niles fills in for Frasier on the radio and helps an NBA star out of a slump.
            
Show More
"
287,eureka,primal,"

                Fargo invents a mental mouse that links the human brain to a mainframe computer; Taggart uses nanoids to heal a local mutt.
            
Show More
"
288,superstore,olympics,"

                An Olympics-themed promotion at the store gives Amy the opportunity to meet her childhood idol; Glenn struggles to balance his excessive patriotism; Jonah discovers a secret about Mateo's past; Dina works to create a memorable closing ceremony.
            
Show More
"
289,pawn stars,"happy meal, happy deal","

                The shop is officially in session when excerpts from the first Continental Congress make their way in.
            
Show More
"
290,wwe hall of fame,wwe hall of fame 2022,"
Hulk Hogan joins Scott Hall and Kevin Nash to form a group of villains called the New World Order, which becomes the most influential faction in the history of sports entertainment and has fans cheering for the bad guys.
"
291,mr. robot,407 proxy authentication required,"

                Elliot discovers some hidden truths about his past and Mr. Robot.
            
Show More
"
292,kenan,dating app,"

                With Gary's help, Kenan signs up for a dating app that he might not be ready for while Rick has an interesting date of his own; Mika and Pam strategize to help Tami when she is caught in an unflattering situation by a tabloid photographer.
            
Show More
"
293,ordinary joe,thankful,"

                Cop Joe navigates a tense Thanksgiving dinner with his family; Music Joe battles his feelings of betrayal in order to help Amy's campaign; Nurse Joe and Jenny decide to hire outside help for Chris as they prepare for their first Thanksgiving apart.
            
Show More
"
294,transplant,scars,"

                With his future as a doctor on the line, Bash must suppress his instincts and avoid any chance of risk.
            
Show More
"
295,escape to the chateau,"pop-up restaurant, orangery, celebration","

                The overhaul of the orangerie continues; Dick and Angel celebrate their fifth wedding anniversary.
            
Show More
"
296,frasier,the innkeepers,"

                Niles and Frasier drive off the employees of their new restaurant.
            
Show More
"
297,kenan,work friends,"

                Kenan offends Tami when he reveals that he only sees her as a colleague and not as a friend; Gary and Rick encourage Birdie to use TikTok before she's ready, which lands her in real trouble at school.
            
Show More
"
298,hell's kitchen,8 chefs compete,"

                The team that prepares the most-impressive Southern-inspired menu for a sorority's anniversary party wins a trip to Las Vegas; both teams struggle with communication during dinner service.
            
Show More
"
299,30 rock,jack gets in the game,"

                On the heels of Jack's realization that Don Geiss may be retiring, Jack's nemesis returns, engaged to Don's daughter; Liz tries to get her life in order.
            
Show More
"
300,friday night lights,on the outside looking in,"

                Not everyone is happy with how the team played in the season's first game; Vince discovers stardom comes with benefits; Luke pays for his aggressive play; Tami tries to start a tutoring program.
            
Show More
"
301,million dollar listing los angeles,third degree burn,"

                Madison decides to expand his business; Josh Flagg's client wants to interrogate potential buyers; Josh Altman and his brother co-list a multi-million dollar estate.
            
Show More
"
302,e! true hollywood story,victoria's secret,"

                Victoria's Secret made moguls out of models by redefining the standard of beauty, but for some, this fantasy was a nightmare; through new interviews and insights, THS explores the controversies impacting one of the biggest lingerie brands.
            
Show More
"
303,wild child,zoos and farms,"

                Sheinelle Jones explores the zoos and farms of the world; from hungry chicks to jumping joeys, she discovers the species that call these places home.
            
Show More
"
304,pawn stars,the great pawnbino,"

                A personal check signed by Babe Ruth; Navy buttons that date back to the Civil War; Rick's back starts acting up and Chum tries to help.
            
Show More
"
305,little big shots,give us s'mores,"

                Jazz pianist; the world's youngest fitness expert; a 9-year-old science ambassador; a 7-year-old dog trainer; a soulful singing trio from the Philippines; the return of Blayze, the young cowboy from Season 2.
            
Show More
"
306,parenthood,"one step forward, two steps back","

                Joel and Julia consider the long-term effects of adopting Victor; Jasmine and Crosby are frustrated when Renee oversteps her boundaries; Hank is concerned when Mark and Sarah have a talk about their relationship.
            
Show More
"
307,e! true hollywood story,hollywood mysteries,"

                Exploring three of Hollywood's hottest mysteries: Brittany Murphy's death at age 32, Whitney Houston's drowning, and Carole Baskin's missing husband.
            
Show More
"
308,30 rock,the collection,"

                Jack learns he must give up his secret collection of cookie jars; Tracy's wife (Sherri Shepherd) announces that she will stay with him at all times to make sure he behaves.
            
Show More
"
309,"murder, she wrote",truck stop,"

                Jessica encounters murder when car trouble strands her and a fellow writer at a run-down truck stop owned by a disillusioned woman.
            
Show More
"
310,project runway,"fashion is back, baby!","

                Designers collaborate with some of New York City's most talented accessory designers; each collaborating duo is challenged to create a coordinated one-of-a-kind look and new accessory.
            
Show More
"
311,a little late with lilly singh,america ferrera,"

                Actress America Ferrera.
            
Show More
"
312,escape to the chateau,escape to the chateau at christmas,"

                During Christmas at the château, the Strawbridge family gets ready to party; Dick, Angel, Arthur and Dorothy celebrate their eighth Christmas in the home, and there's plenty of reminiscing as they reflect on their journey.
            
Show More
"
313,frasier,fathers and sons,"

                Martin questions his link with his sons when an out-of-town guest (David Ogden Stiers) arrives; Daphne and Niles plan for the future.
            
Show More
"
314,kenan,those chops pop,"

                Kenan struggles to define his personal and professional relationship with Mika; Rick searches for his passion and makes an unexpected enemy.
            
Show More
"
315,yellowstone,grass on the streets and weeds on the rooftops,"

                To the Duttons, family is everything; however, newfound truths threaten that bond; Jimmy comes home and has important decisions to make; Beth takes family matters into her own hands.
            
Show More
"
316,transplant,control,"

                Bash tries saving a couple whose wedding was waylaid by gunfire; Mags' demanding teen patient needs birth control; June struggles with an old habit; an activist patient puts Theo in his place.
            
Show More
"
317,million dollar listing los angeles,i got the listing and i got the girl,"

                Madison crashes Josh Altman's broker's open to confront him; Josh Flagg's grandmother bonds with a client.
            
Show More
"
318,heroes,i am sylar,"

                Sylar's new ability begins to take its toll on him as he continues his unusual partnership; Hiro and Ando take steps toward bringing down Building 26; Nathan launches a plan to right the wrongs of his government operation.
            
Show More
"
319,superstore,new initiative,"

                When a new Cloud 9 initiative forces the employees to be friendlier with customers, Amy unwittingly meets Jonah's parents; Garrett and Dina compete to see who can smile the longest.
            
Show More
"
320,parenthood,all aboard who's coming aboard,"

                Julia discovers that she has a lot in common with a school parent volunteer; Hank visits unexpectedly and shares advice with Sarah; Zeek doesn't want to talk about the future.
            
Show More
"
